sno,year,Title_of_the_project,Executing_Agency,Total_outlay
58,2013,Proposal for 揅ybercrrime Awarness Workshop for Law Enforcement Agencies� (LEA) � Phase -II,Data Security Council of India (DSCI) New Delhi,2998000
59,2013,Analyzing and Measuring Trustworthiness of User-Gernated Content and Userson Multiple Online Social Media to Counter cybercrime,IIIT Delhi,"75,000"
60,2013,Design and Development of system for Detecting Digitized Document frauds,IIIT-Delhi,8112000
61,2014,"Design & Implementation of a secure communication system for reduced complexity by National Institute of Technology, Calicut .",NIT-Calicut,3888000
62,2014,Development of Network Traffic Classification Based Approach for Detection,,6082000
63,2014,Multi-Model Broadcast Analytics-Structured Evidence Visualization for Events of security concern,"IIT Guwahati, Assam",13951000
64,2014,Implementation and Analysis of a quantum key distribution protocol for network security,Assam University-Silchar.,3261600
65,2014,Establishment of Cyber security and forensic Training facility for technical teacher training,NITTTR Chandigarh,4565000
66,2014,Design and Development of Digital forensic tools for clouds laas,BITS Pilani -Hyderabad Campus,5496000
67,2015,To deliver the information security assurance framework with implementation and assessment aids for users implementing e-governance projects,"MDI, Gurgaon",5195000
68,2015,Development of face recognition system for Handaling large database and Development of advanced techniques for video enhancement,CDAC Kolkata,205000
69,2015,"Research on Multimodal context switching using multispectral face, periocular and Iris recognition at a distance",IIIT Delhi,12055000
70,2015,Design and Development of an Online Information Security Metrics Tool,"Jadavpur University, Kolkata",18388000
71,2016,Development of an Intelligent adaptive video monitoring and recording system,"IIT, Madras",14904000
72,2016,Design Development and Enhancement of Cyber Forensics tools,"C-DAC, Thirvannanthapuram",80525000
73,2017,Development of Tool for Detection of XML Based Injection Vulnerabilities in Web Applications,"NIT, Surathkal",3816000
74,2017,Design & Development of Honeynet System for Broadband Networks,C-DAC Mohali,24620000
75,2017,Study and Analysis of Power Analysis Waveforms of Side Channel Attacks to identify the Cryptosystems,"Assam University, Silchar",1100000
76,2018,Cybercrime Awareness Workshop for Law Enforcement Agencies (LEA)-Phase III�,DSCI New Delhi,9120000
77,2018,Design and Development of digital Multimedia Forgery Detection System,IIIT Delhi,498000
78,2018,Development of Robust and Genernic Model of e-Security Index,DSCI New Delhi,4517000
79,2018,Design and Implementation of static analysis techniques for detecting security vulnerabilities in android application,IISc Bangalore,5370000
80,2018,Security Analysis Framework for Anroid Platform,MNIT Jaipur,5550000
81,2018,Setting up of National Digital Crime Resource and Training Centre (NDCRTC)By SVP,National Policy Academy C-DAC Hyderabad,368580
82,2018,"Creating mass cyber security awareness among schools, colleges and government employees through appropriate training and campaign mechanism in NE states of Manipur and Sikkim",NIELIT Centres IMPHAL and Gangtok,15494000
83,2019,Development of person identification system using online handwriting,IIT Guwahati,72.00.000
84,2019,Development of a Robust speaker Authentication system,Rajiv Gandhi University,4746000
85,2019,Setting up of Cyber Forensic Training Centre (Cyber Centre) for Uttarakhand Police,C-DAC Noida,1236000
86,2019,Enhancement of Cyber Forensic Lab for advanced training to law enforcement agencies to handle emerging cyber crimes and capacity building of youths in the area of cyber security in NE states,"NIELIT centres, Kohima",152000
87,2019,Development of Cyber Security Test Bed Specifications and test Methodologies for Industrial Control Systems,C-DAC Thiruvananthapuram,5581000
88,2019,Development of Algorithms for Matching near-infrared facial images to visible light images across variation in pose and resolution,"IISc ,Bangalore",2654000
89,2019,Development of security solution for defence against attacks in virtualization and hypervisor technologies for cloud computing,"C-DAC, Bangalore",15334000
